CVE_AGEB,ENT,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,POB_TOTAL,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC,IM_2020,GM_2020,IMN_2020,Mult,Index_Prop,Index_Prop_norm,num_def,Aire,Agua,Suelo,UM_n,aire,agua,suelo,contaminacion_total,aire_total,agua_total,suelo_total,mast_n,mast_norm,Indice_RC,Indice_RC_NORM,Etiquetas_RiesgoC
240280001044A,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,044A,1058,13.33333333,4.851183967,17.99043062,0.0,0.0,0.0,0.09699321,0.484966052,6.692531523,3.685741998,1.745877789,123.5034341,Bajo,0.964762519,1020.718745102,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43416083556835183,0.08553610411761187,Medio
2402800010454,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0454,1382,4.347826087,5.258899676,17.05370102,0.0,0.0,0.0,0.371747212,0.29739777,7.137546468,4.014869888,2.453531599,125.1039193,Muy bajo,0.977264909,1350.5801042379999,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43288863377821735,0.05628623588732987,Bajo
2402800010469,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0469,2330,3.76344086,10.8094768,21.63090129,0.0,0.0,0.0,0.606585789,0.779896014,12.47833622,5.675909879,5.025996534,124.1870193,Muy bajo,0.97010243,2260.3386619,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4336508045195754,0.07380970891383949,Medio
2402800010473,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0473,3208,3.414634146,7.845188285,21.72284644,0.0,0.0,0.0,0.097307817,1.135257866,11.61206617,5.157314304,4.573467402,124.5325514,Muy bajo,0.972801597,3120.747523176,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4333756018593229,0.06748237813075864,Medio
2402800010488,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0488,345,0.0,12.09150327,29.91202346,0.0,0.0,0.0,0.0,2.960526316,13.81578947,9.868421053,9.539473684,123.6519431,Bajo,0.965922615,333.243302175,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43405351075792875,0.08306854229914966,Medio
2402800010505,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0505,2734,4.545454545,16.75438596,14.34321259,0.0,0.0,0.036643459,0.476364969,1.795529498,23.81824844,7.878343716,6.559179187,123.797692,Muy bajo,0.967061151,2643.945186834,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4339463892654942,0.08060565507273741,Medio
2402800010539,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0539,3227,3.529411765,9.924559257,18.8532253,0.0,0.0,0.0,0.254533885,0.76142132,11.29441624,4.53680203,5.171319797,124.6233875,Muy bajo,0.973511175,3141.520561725,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4333010122518114,0.06576744877915855,Medio
2402800010543,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0543,2183,0.423728814,14.08219178,18.6611646,0.141509434,0.0,0.235849057,0.047169811,1.886792453,18.39622642,8.679245283,6.320754717,124.4000726,Muy bajo,0.971766722,2121.366754126,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43348266302842614,0.0699438784313666,Medio
2402800010558,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0558,1695,11.27819549,14.06355646,18.98285038,0.0,0.0,0.060277275,0.904159132,1.32610006,16.51597348,10.36769138,2.290536468,122.4358247,Bajo,0.956422755,1621.1365697249998,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43488537940712896,0.10219447700753939,Medio
2402800010562,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0562,3391,2.793296089,19.50784593,18.73156342,0.0,0.059206631,0.0,0.503256365,5.654233274,27.70870337,7.48963884,10.89402013,123.2251373,Bajo,0.962588569,3264.137837479,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43435730175147746,0.09005316266342928,Medio
